lon;lat;height;stn;time;Temperatur (°C);Niederschlag (mm);Sonnenschein (min);Globalstrahlung (w/m^2);Luftfeuchte (%);Taupunkt (°C);Windrichtung (°);Windgeschwindigkeit (km/h);Böenspitzen (km/h)
764170;249582;409;OBR;201903141300;5.7;0;-;-;72;1.1;210;24.5;40
688728;220956;724;AEG;201903141300;-;-;-;-;-;-;245;22.7;43.2
555505;158052;828;ORO;201903141300;2.4;0;0;78;88;0.5;210;33.5;54.4
798422;143020;2260;BEH;201903141300;-4.4;0;0;369;60;-11.1;201;3.2;6.5
562131;184611;490;PAY;201903141300;4.9;0.1;0;107;80;1.7;216;39.2;63.7
661904;203410;2106;PIL;201903141300;-5.3;0.4;-;171;100;-5.3;237;42.8;101.9
695880;152264;990;PIO;201903141300;5.6;0;0;189;47;-4.8;263;18.4;33.1
783150;143521;3302;COV;201903141300;-12.5;0;0;409;83;-14.8;285;34.9;54.7
760261;160570;2670;PMA;201903141300;-8.7;0;0;351;85;-10.8;206;17.3;26.6
586828;177406;1042;PLF;201903141300;1.4;0;0;134;80;-1.6;221;45.7;70.2
801992;136248;1078;ROB;201903141300;7;0;0;226;31;-8.9;218;10.8;17.3
540819;151510;455;PUY;201903141300;6.5;0;0;78;69;1.2;238;14.8;33.8
734848;221278;419;QUI;201903141300;-;-;-;-;-;-;328;2.9;6.5
682587;144091;1896;ROE;201903141300;-3.1;0;0;328;72;-7.5;317;2.2;3.6
633252;253845;611;RUE;201903141300;3.5;0;0;45;80;0.4;224;35.6;55.8
734115;147294;1638;SBE;201903141300;1.4;0;0;347;45;-9.2;111;9;20.5
719099;279047;718;HAI;201903141300;1;0.2;0;48;100;1;236;35.6;54.4
787249;155685;1708;SAM;201903141300;-0.4;0;0;320;53;-8.9;51;1.4;3.6
690999;215145;790;SAG;201903141300;3.7;0;-;-;72;-0.8;224;16.2;29.5
688702;282803;438;SHA;201903141300;3.5;0.6;0;50;88;1.7;232;34.9;60.8
769617;205125;626;SRS;201903141300;4;0;-;-;93;3;66;2.2;3.2
713725;231533;408;SCM;201903141300;-;-;-;-;-;-;252;25.2;33.5
643683;199710;744;SPF;201903141300;2.7;0.1;0;78;88;0.9;212;22.7;43.6
817137;186393;1303;SCU;201903141300;2.9;0;0;203;45;-7.9;254;12.2;22
778574;144976;1804;SIA;201903141300;-0.3;0;0;375;51;-9.3;249;17.3;25.2
647683;116340;1465;SIM;201903141300;-0.4;0;0;161;70;-5.2;311;34.9;68.8
591633;118583;482;SIO;201903141300;7.2;0;0;159;56;-0.9;311;4.3;7.2
523549;148525;425;PRE;201903141300;-;-;-;-;-;-;226;32.4;50.4
618695;269036;493;STC;201903141300;-;-;0;32;-;-;-;-;-
747865;254588;775;STG;201903141300;2.4;0;0;133;85;0.1;228;14.4;34.6
828861;165579;1386;SMM;201903141300;2.8;0;0;257;43;-8.5;266;9;17.3
716048;77973;353;SBO;201903141300;13.5;0;0;459;28;-4.8;219;5;16.2
715870;280916;397;STK;201903141300;-;-;-;-;-;-;227;37.1;56.5
744183;234918;2502;SAE;201903141300;-7.4;1.4;0;210;100;-7.4;255;75.6;124.9
611200;177640;570;THU;201903141300;5.9;0;0;117;67;0.3;144;19.1;26.6
675400;180400;3040;TIT;201903141300;-11.9;-;0;294;100;-11.9;256;50;79.2
679454;245034;854;UEB;201903141300;-;-;0;66;-;-;-;-;-
666747;150767;1345;ULR;201903141300;-1.3;0.1;0;143;91;-2.6;247;27.4;38.5
757722;221699;457;VAD;201903141300;6.2;0;0;67;65;0.1;146;6.1;12.2
761634;180385;1568;VAB;201903141300;-2.5;0;0;225;89;-4.1;350;8.6;12.6
734016;165551;1242;VLS;201903141300;0.7;0;-;-;77;-2.8;1;9.4;18.4
552106;146847;405;VEV;201903141300;6.8;0;0;53;67;1.2;216;9.7;22
768485;135866;1089;VIO;201903141300;6.9;0;0;313;28;-10.3;307;3.2;6.5
